"Device Name","KD2",,,
"Device Model","DROP_2",,,
"Serial Number","2061168",,,
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Stress Index","Dew Point"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2018-07-11 10:00:00","66.9","53.6","64.6","49.5"
"2018-07-11 10:05:00","66.9","53.6","64.8","49.5"
"2018-07-11 10:10:00","66.9","53.7","64.8","49.6"
"2018-07-11 10:15:00","66.9","53.7","64.6","49.6"
"2018-07-11 10:20:00","66.8","53.6","64.6","49.5"
"2018-07-11 10:25:00","66.8","53.6","64.6","49.5"
"2018-07-11 10:30:00","66.9","53.6","64.6","49.5"
"2018-07-11 10:35:00","66.8","53.8","64.6","49.5"
"2018-07-11 10:40:00","66.8","53.7","64.6","49.5"
"2018-07-11 10:45:00","66.8","53.7","64.6","49.5"
"2018-07-11 10:50:00","66.8","53.8","64.6","49.5"
"2018-07-11 10:55:00","66.8","53.8","64.6","49.5"
"2018-07-11 11:00:00","66.7","53.8","64.2","49.5"
"2018-07-11 11:05:00","66.7","53.8","64.2","49.5"
"2018-07-11 11:10:00","66.8","53.9","64.6","49.6"
"2018-07-11 11:15:00","66.7","53.9","64.2","49.5"
"2018-07-11 11:20:00","66.7","53.9","64.2","49.5"
"2018-07-11 11:25:00","66.7","54.0","64.2","49.5"
"2018-07-11 11:30:00","66.6","54.0","64.2","49.5"
"2018-07-11 11:35:00","66.6","54.1","64.2","49.5"
"2018-07-11 11:40:00","66.6","54.1","64.2","49.5"
"2018-07-11 11:45:00","66.6","54.1","64.2","49.5"
"2018-07-11 11:50:00","66.7","54.1","64.2","49.6"
"2018-07-11 11:55:00","66.6","54.1","64.2","49.5"
"2018-07-11 12:00:00","66.6","54.1","64.2","49.5"
"2018-07-11 12:05:00","66.6","54.1","64.2","49.5"
"2018-07-11 12:10:00","66.6","54.1","64.2","49.5"
"2018-07-11 12:15:00","66.6","54.1","64.2","49.5"
"2018-07-11 12:20:00","66.6","54.1","64.2","49.5"
"2018-07-11 12:25:00","66.6","54.1","64.2","49.5"
"2018-07-11 12:30:00","66.5","54.1","64.0","49.4"
"2018-07-11 12:35:00","66.5","54.1","64.0","49.4"
"2018-07-11 12:40:00","66.5","54.2","64.0","49.5"
"2018-07-11 12:45:00","66.5","54.2","64.0","49.5"
"2018-07-11 12:50:00","66.5","54.1","64.0","49.4"
"2018-07-11 12:55:00","66.5","54.1","64.0","49.4"
"2018-07-11 13:00:00","66.5","54.2","64.0","49.4"
"2018-07-11 13:05:00","66.5","54.2","64.0","49.4"
"2018-07-11 13:10:00","66.5","54.2","64.0","49.4"
"2018-07-11 13:15:00","66.5","54.2","64.0","49.5"
"2018-07-11 13:20:00","66.5","54.2","64.0","49.4"
"2018-07-11 13:25:00","66.5","54.2","64.0","49.4"
"2018-07-11 13:30:00","66.5","54.2","64.0","49.5"
